idEuropeanRegion,Name,Type,Country,OtherRegion,idCountry,idTerritory
386,Gelderland,Province,Netherlands,NULL,123,NULL
387,Groningen,Province,Netherlands,NULL,123,NULL
388,"Limburg, NL",Province,Netherlands,NULL,123,NULL
389,Noord-Brabant,Province,Netherlands,"["North Brabant"]",123,NULL
390,Noord-Holland,Province,Netherlands,"["North Holland"]",123,NULL
391,Overijssel,Province,Netherlands,NULL,123,NULL
392,Saba,"Special Municipality",Netherlands,NULL,123,NULL
393,"Sint Eustatius","Special Municipality",Netherlands,NULL,123,NULL
394,Utrecht,Province,Netherlands,NULL,123,NULL
395,Zeeland,Province,Netherlands,NULL,123,NULL
396,Zuid-Holland,Province,Netherlands,"["South Holland"]",123,NULL
397,"Region Hovedstaden",Region,Denmark,"["Capital Region of Denmark"]",45,NULL
398,"Region Midtjylland",Region,Denmark,"["Central Denmark Region"]",45,NULL
399,"Region Nordjylland",Region,Denmark,"["North Denmark Region"]",45,NULL
400,"Region Sjælland",Region,Denmark,"["Region Zealand"]",45,NULL
401,"Region Syddanmark",Region,Denmark,"["Region of Southern Denmark"]",45,NULL
402,"Eysturoyar sýsla",Sýsla,"Faroe Islands","["Eysturoy Region"]",NULL,20
403,"Norðoya sýsla",Sýsla,"Faroe Islands","["Norðoyar Region"]",NULL,20
404,"Sandoyar sýsla",Sýsla,"Faroe Islands","["Sandoy Region"]",NULL,20
405,"Streymoyar sýsla",Sýsla,"Faroe Islands","["Streymoy Region"]",NULL,20
406,"Suðuroyar sýsla",Sýsla,"Faroe Islands","["Suðuroy Region"]",NULL,20
407,"Vága sýsla",Sýsla,"Faroe Islands","["Vágar Region"]",NULL,20
408,Balzers,Municipality,Liechtenstein,NULL,99,NULL
409,Eschen,Municipality,Liechtenstein,NULL,99,NULL
410,Gamprin,Municipality,Liechtenstein,NULL,99,NULL
411,Mauren,Municipality,Liechtenstein,NULL,99,NULL
412,Planken,Municipality,Liechtenstein,NULL,99,NULL
413,Ruggell,Municipality,Liechtenstein,NULL,99,NULL
414,Schaan,Municipality,Liechtenstein,NULL,99,NULL
415,Schellenberg,Municipality,Liechtenstein,NULL,99,NULL
416,Triesen,Municipality,Liechtenstein,NULL,99,NULL
417,Triesenberg,Municipality,Liechtenstein,NULL,99,NULL
418,Vaduz,Municipality,Liechtenstein,NULL,99,NULL
419,Acquaviva,Castello,"San Marino",NULL,150,NULL
420,"Borgo Maggiore",Castello,"San Marino",NULL,150,NULL
421,Chiesanuova,Castello,"San Marino",NULL,150,NULL
422,Domagnano,Castello,"San Marino",NULL,150,NULL
423,Faetano,Castello,"San Marino",NULL,150,NULL
424,Fiorentino,Castello,"San Marino",NULL,150,NULL
425,Montegiardino,Castello,"San Marino",NULL,150,NULL
426,"San Marino",Castello,"San Marino",NULL,150,NULL
427,Serravalle,Castello,"San Marino",NULL,150,NULL
428,"Città del Vaticano",Country,"Vatican City",NULL,191,NULL
429,"Reġjun Għawdex",Region,Malta,"["Gozo Region"]",107,NULL
430,"Reġjun Lvant",Region,Malta,"["Eastern Region"]",107,NULL
431,"Reġjun Nofsinhar",Region,Malta,"["Southern Region"]",107,NULL
432,"Reġjun Punent",Region,Malta,"["Western Region"]",107,NULL
433,"Reġjun tal-Port",Region,Malta,"["Port Region"]",107,NULL
434,"Reġjun Tramuntana",Region,Malta,"["Northern Region"]",107,NULL
435,Burgenland,Land,Austria,NULL,10,NULL
436,Kärnten,Land,Austria,"["Carinthia"]",10,NULL
437,Nieder­österreich,Land,Austria,"["Lower Austria"]",10,NULL
438,Oberösterreich,Land,Austria,"["Upper Austria"]",10,NULL
439,Salzburg,Land,Austria,NULL,10,NULL
440,Steiermark,Land,Austria,"["Styria"]",10,NULL
441,Tirol,Land,Austria,"["Tyrol"]",10,NULL
442,Vorarlberg,Land,Austria,NULL,10,NULL
443,Wien,Land,Austria,"["Vienna"]",10,NULL
444,"Jihočeský kraj",Region,"Czech Republic","["South Bohemian Region"]",43,NULL
445,"Jihomoravský kraj",Region,"Czech Republic","["South Moravian Region"]",43,NULL
446,"Karlovarský kraj",Region,"Czech Republic","["Karlovy Vary Region"]",43,NULL
447,"Královéhradecký kraj",Region,"Czech Republic","["Hradec Králové Region"]",43,NULL
448,"Kraj Vysočina",Region,"Czech Republic","["Vysočina Region"]",43,NULL
449,"Liberecký kraj",Region,"Czech Republic","["Liberec Region"]",43,NULL
450,"Moravskoslezský kraj",Region,"Czech Republic","["Moravian-Silesian Region"]",43,NULL
451,"Olomoucký kraj",Region,"Czech Republic","["Olomouc Region"]",43,NULL
452,"Pardubický kraj",Region,"Czech Republic","["Pardubice Region"]",43,NULL
453,"Plzeňský kraj",Region,"Czech Republic","["Plzeň Region"]",43,NULL
454,Praha,Region,"Czech Republic","["Prague"]",43,NULL
455,"Středočeský kraj",Region,"Czech Republic","["Central Bohemian Region"]",43,NULL
456,"Ústecký kraj",Region,"Czech Republic","["Ústí nad Labem Region"]",43,NULL
457,"Zlínský kraj",Region,"Czech Republic","["Zlín Region"]",43,NULL
458,Dolnośląskie,Voivodeship,Poland,"["Lower Silesian Voivodeship"]",139,NULL
459,Kujawsko-Pomorskie,Voivodeship,Poland,"["Kuyavian–Pomeranian Voivodeship"]",139,NULL
460,Łódzkie,Voivodeship,Poland,"["Łódź Voivodeship"]",139,NULL
461,Lubelskie,Voivodeship,Poland,"["Lublin Voivodeship"]",139,NULL
462,Lubuskie,Voivodeship,Poland,"["Lubusz Voivodeship"]",139,NULL
463,Małopolskie,Voivodeship,CPoland,"["Lesser Poland Voivodeship"]",139,NULL
464,Mazowieckie,Voivodeship,Poland,"["Masovian Voivodeship"]",139,NULL
465,Opolskie,Voivodeship,Poland,"["Opole Voivodeship"]",139,NULL
466,Podkarpackie,Voivodeship,Poland,"["Subcarpathian Voivodeship"]",139,NULL
467,Podlaskie,Voivodeship,Poland,"["Podlaskie Voivodeship"]",139,NULL
468,Pomorskie,Voivodeship,Poland,"["Pomeranian Voivodeship"]",139,NULL
469,Śląskie,Voivodeship,Poland,"["Silesian Voivodeship"]",139,NULL
470,Świętokrzyskie,Voivodeship,Poland,"["Holy Cross Voivodeship"]",139,NULL
471,Warmińsko-Mazurskie,Voivodeship,Poland,"["Warmian–Masurian Voivodeship"]",139,NULL
472,Wielkopolskie,Voivodeship,Poland,"["Greater Poland Voivodeship"]",139,NULL
473,Zachodniopomorskie,Voivodeship,Poland,"["West Pomeranian Voivodeship"]",139,NULL
474,"Banskobystrický kraj",Region,Slovakia,"["Banská Bystrica Region"]",158,NULL
475,"Bratislavský kraj",Region,Slovakia,"["Bratislava Region"]",158,NULL
476,"Košický kraj",Region,Slovakia,"["Košice Region"]",158,NULL
477,"Nitriansky kraj",Region,Slovakia,"["Nitra Region"]",158,NULL
478,"Prešovský kraj",Region,Slovakia,"["Prešov Region"]",158,NULL
479,"Trenčiansky kraj",Region,Slovakia,"["Trenčín Region"]",158,NULL
480,"Trnavský kraj",Region,Slovakia,"["Trnava Region"]",158,NULL
481,"Žilinský kraj",Region,Slovakia,"["Žilina Region"]",158,NULL
482,Baranya,County,Hungary,NULL,74,NULL
483,Bács-Kiskun,County,Hungary,NULL,74,NULL
484,Békés,County,Hungary,NULL,74,NULL
485,Borsod-Abaúj-Zemplén,County,Hungary,NULL,74,NULL
486,Budapest,County,Hungary,NULL,74,NULL
487,Csongrád-Csanád,County,Hungary,NULL,74,NULL
488,Fejér,County,Hungary,NULL,74,NULL
489,Győr-Moson-Sopron,County,Hungary,NULL,74,NULL
490,Hajdú-Bihar,County,Hungary,NULL,74,NULL
491,Heves,County,Hungary,NULL,74,NULL
492,Jász-Nagykun-Szolnok,County,Hungary,NULL,74,NULL
493,Komárom-Esztergom,County,Hungary,NULL,74,NULL
494,Nógrád,County,Hungary,NULL,74,NULL
495,Pest,County,Hungary,NULL,74,NULL
496,Somogy,County,Hungary,NULL,74,NULL
497,Szabolcs-Szatmár-Bereg,County,Hungary,NULL,74,NULL
498,Tolna,County,Hungary,NULL,74,NULL
499,Vas,County,Hungary,NULL,74,NULL
500,Veszprém,County,Hungary,NULL,74,NULL
501,Zala,County,Hungary,NULL,74,NULL
502,Gorenjska,"Statistical Region",Slovenia,"["Jesenice", "Kranj", "Radovljica", "Škofja Loka", "Tržič"]",159,NULL
503,Goriška,"Statistical Region",Slovenia,"["Ajdovščina", "Idrija", "Nova Gorica", "Tolmin"]",159,NULL
504,"Jugovzhodna Slovenija","Statistical Region",Slovenia,"["Črnomelj", "Kočevje", "Metlika", "Novo Mesto", "Ribnica", "Trebnje"]",159,NULL
505,Koroška,"Statistical Region",Slovenia,"["Dravograd", "Radlje ob Dravi", "Ravne na Koroškem", "Slovenj Gradec"]",159,NULL
506,Obalno-Kraška,"Statistical Region",Slovenia,"["Izola", "Koper", "Piran", "Sežana"]",159,NULL
507,Osrednjeslovenska,"Statistical Region",Slovenia,"["Domžale", "Grosuplje", "Kamnik", "Ljubljana", "Logatec", "Vrhnika"]",159,NULL
508,Podravska,"Statistical Region",Slovenia,"["Lenart", "Maribor", "Ormož", "Pesnica", "Ptuj", "Ruše", "Slovenska Bistrica"]",159,NULL
509,Pomurska,"Statistical Region",Slovenia,"["Gornja Radgona", "Lendava", "Ljutomer", "Murska Sobota"]",159,NULL
510,Posavska,"Statistical Region",Slovenia,"["Brežice", "Krško", "Sevnica"]",159,NULL
511,Primorsko-Notranjska,"Statistical Region",Slovenia,"["Cerknica", "Ilirska Bistrica", "Postojna"]",159,NULL
512,Savinjska,"Statistical Region",Slovenia,"["Celje", "Laško", "Mozirje", "Slovenske Konjice", "Šentjur", "Šmarje pri Jelšah", "Velenje", "Žalec"]",159,NULL
513,Zasavska,"Statistical Region",Slovenia,"["Hrastnik", "Litija", "Trbovlje", "Zagorje ob Savi"]",159,NULL
